Category,All, KP,AD,AE,AF,AG,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BH,BI,BJ,BN,BO,BR,BT,BW,BY,BZ,"Bonaire, Sint Eustatius and Saba",CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DO,DZ,EC,EE,EG,EH,ER,ES,ET,EU,England & Wales,FI,FJ,FR,GA,GB,GE,GF,GH,GL,GM,GN,GQ,GR,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IO,IQ,IR,IS,ISS World,IT,JM,JO,JP,KE,KG,KH,KM,KP,KR,KW,KZ,LA,LB,LI,LK,LR,LS,LT,LU,LV,LY,Libya,MA,MD,ME,MG,MH,MK,ML,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,Milipol,NA,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SN,SO,SR,SS,SV,SY,SZ,Scotland,South Sudan,TAC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,XK,YE,ZA,ZM,ZW
Reportrar Utan Gränser/2013 Internets statsfiender/Source,http://surveillance.rsf.org/en,,,,,,,,,,,,,,,,,,http://surveillance.rsf.org/en/bahrain/,,,,,,,,,,,,,,,,,,,http://surveillance.rsf.org/en/china/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://surveillance.rsf.org/en/iran/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://surveillance.rsf.org/en/syria/,,,,,,,,,,,,,,,,,,,,,,,,,http://surveillance.rsf.org/en/vietnam/,,,,,,
Reportrar Utan Gränser/2013 Internets statsfiender,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Reportrar Utan Gränser/2013 Pressfrihetsindex/Source,http://rsf.org/index2014/en-index2014.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reportrar Utan Gränser/2013 Pressfrihetsindex,,,4.659,3.3255,3.132,4.581,3.456,3.598,3.11,3.7165,4.53,4.238,2.6135,3.657,2.8995,4.353,3.815,3.571,1.8625,3.099,3.5835,3.2275,3.36,3.3625,3.579,3.8545,2.5825,,,4.3655,,2.917,3.357,4.503,3.5115,3.688,3.261,1.3465,3.126,4.396,1.418,4.2835,4.3085,4.4915,4.488,1.63,4.646,3.6695,3.173,3.2655,4.537,2.567,,0.7585,3.975,3.0215,,,4.681,3.3655,3.92,3.583,4.1555,2.7455,,3.4955,,3.5655,3.5305,3.5755,4.1365,3.577,1.64,3.553,3.154,3.7955,3.6695,3.646,3.692,2.939,1.33,4.5755,3.6955,,2.9475,2.7665,4.497,,3.3515,3.6945,3.7415,4.506,2.246,3.61,2.9095,3.774,0.805,3.776,3.5765,3.0765,3.586,3.8555,3.107,2.1705,3.4925,1.6005,4.6325,4.088,3.582,3.5055,,3.835,2.735,3.5035,3.2865,,4.666,3.445,2.7645,3.6995,,3.6765,3.4985,3.048,3.591,2.8635,3.662,3.569,3.3515,,3.5995,3.5845,3.846,3.2695,3.561,3.2945,4.375,4.674,4.014,2.8455,4.676,3.3525,3.4065,1.9805,2.8445,2.4345,4.3445,3.8515,4.1625,3.8475,3.6705,2.829,2.227,2.156,,3.5405,1.497,4.5385,2.8285,3.9755,4.3375,3.6825,3.6905,1.3205,4.0905,3.19,3.857,1.0735,2.662,,,,3.2565,,3.5775,3.07,3.2145,,3.564,1.043,3.0035,3.665,2.672,3.844,3.809,3.633,3.1605,2.9245,4.089,4.204,3.4155,3.278,1.411,3.808,3.39,1.539,3.772,3.6035,3.094
Reportrar Utan Gränser/2014 Fängsling/Source,http://12mars.rsf.org/2014-en/#slide3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reportrar Utan Gränser/2014 Fängsling,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,
Reportrar Utan Gränser/2014 Desinformation/Source,http://12mars.rsf.org/2014-en/#slide3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reportrar Utan Gränser/2014 Desinformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reportrar Utan Gränser/2014 Censur/Source,http://12mars.rsf.org/2014-en/#slide3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reportrar Utan Gränser/2014 Censur,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,0,,,0,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,,,,,
Reportrar Utan Gränser/2014 Övervakning/Source,http://12mars.rsf.org/2014-en/#slide3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reportrar Utan Gränser/2014 Övervakning,,,,0,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,
Reportrar Utan Gränser/2014 Pressfrihetsindex/Source,http://rsf.org/index2014/en-index2014.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reportrar Utan Gränser/2014 Pressfrihetsindex,,,4.659,3.1985,3.1465,3.9595,3.504,3.5465,3.175,3.7365,4.4995,4.1545,2.3565,3.657,2.871,4.36,3.7775,3.429,2.087,2.975,3.5585,3.2275,3.448,3.2985,3.4635,3.8545,2.609,4.1475,,4.4505,,3.3435,2.768,4.4765,3.4185,3.71,3.0935,1.3545,3.166,4.3885,1.454,4.284,4.2775,4.4965,4.4885,1.483,4.6285,3.6415,3.187,3.442,4.5185,2.4055,,0.7585,3.9685,2.971,,,4.68,3.3715,3.9055,3.434,4.0035,3.511,,4.1855,,2.679,3.4165,1.6025,3.4335,3.1695,3.4975,3.646,3.6725,3.143,3.659,3.8235,3.6635,3.0925,4.4565,3.4405,2.983,,2.728,1.3855,4.575,,3.8125,4.455,2.979,3.699,3.465,3.438,2.9515,3.774,0.902,3.717,3.4645,2.253,1.439,3.4055,4.649,2.0435,3.4675,3.582,4.04,4.665,3.945,3.008,,3.014,3.7325,3.261,3.531,,3.1785,3.1855,2.9285,3.485,,3.6735,3.808,3.6155,3.3445,3.5855,2.748,2.8635,3.537,,4.375,3.8205,3.288,3.615,4.677,4.674,3.192,4.5725,3.0585,3.49,3.415,3.827,2.8155,2.427,4.4485,2.9945,4.1135,3.4095,3.284,3.826,3.7475,2.861,2.1715,2.085,,3.416,1.406,4.551,2.7855,3.981,4.4305,3.5885,3.666,1.3405,4.09,3.1975,3.9215,1.148,2.662,,,,2.989,,3.55,3.103,3.257,,3.548,0.9595,3.0655,3.665,2.7065,3.836,3.809,3.635,3.1535,3.3355,3.8255,4.196,1.9495,3.2315,1.382,3.899,3.5355,1.637,3.8405,3.4555,3.0405
NSAs övervakning/Source,http://www.kurzweilai.net/boundless-informant-the-nsas-secret-tool-to-track-global-surveillance-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSAs övervakning/Inhämtning,,,,0.5555555556,0.9259259259,,3.8888888889,1.2962962963,4.8148148148,5,5,4.4444444444,3.7037037037,5,2.5925925926,5,4.8148148148,3.8888888889,,,4.8148148148,,5,1.4814814815,3.5185185185,4.8148148148,5,5,2.7777777778,3.1481481481,3.8888888889,4.8148148148,4.8148148148,5,4.8148148148,5,4.8148148148,0.7407407407,4.0740740741,5,5,,,5,0.7407407407,,3.8888888889,5,3.3333333333,5,5,0.1851851852,4.8148148148,4.8148148148,3.5185185185,4.8148148148,,,5,,,4.8148148148,2.7777777778,2.4074074074,5,4.8148148148,5,4.8148148148,4.8148148148,4.8148148148,1.8518518519,5,4.8148148148,5,0.7407407407,5,5,5,5,1.6666666667,5,,0.3703703704,,0.5555555556,0,5,,2.4074074074,,0,4.2592592593,4.8148148148,4.6296296296,4.2592592593,,4.2592592593,4.2592592593,,4.2592592593,4.2592592593,,,2.2222222222,4.8148148148,4.8148148148,3.8888888889,,5,,2.037037037,4.8148148148,5,5,4.8148148148,,3.8888888889,4.8148148148,2.5925925926,4.2592592593,0.7407407407,4.8148148148,,,,4.8148148148,3.1481481481,2.962962963,4.8148148148,,4.8148148148,4.8148148148,4.8148148148,5,2.7777777778,5,3.5185185185,4.4444444444,2.4074074074,5,5,4.4444444444,4.2592592593,0,3.8888888889,,4.6296296296,5,,5,5,1.6666666667,,0.5555555556,,,3.3333333333,5,,5,5,4.8148148148,4.8148148148,2.4074074074,5,,5,3.7037037037,4.8148148148,,4.8148148148,,4.8148148148,,4.8148148148,2.2222222222,4.6296296296,,4.4444444444,3.7037037037,4.8148148148,,1.2962962963,,4.2592592593,3.3333333333,3.8888888889,3.3333333333,0.7407407407,5,4.6296296296,5,2.962962963,,,1.1111111111,4.8148148148,4.8148148148,3.8888888889
Hacking Teams spionvirus/Source,https://citizenlab.org/2014/02/mapping-hacking-teams-untraceable-spyware/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hacking Teams spionvirus/Misstänka användare,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,0,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,0,0,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,,
